occupation,count,corrected_occupation
Master. Tailor,1,Master. Tailor
Wards man,1,Wards man
Wire Framer,1,Wire Framer
Ex Banker,1,Ex Banker
Marician,1,Marician
Bootsman Lab,1,Bootsman Lab
Labourer (Farm,1,Farm Labourer
? Farmers Wife,1,? Farmers Wife
Late Attendant in Asylum,1,Late Attendant in Asylum
Wool Factory,1,Wool Factory
Widow of General Labourer,1,Widow of General Labourer
Bacon Aurer,1,Bacon Aurer
Had No Occupation,1,Had No Occupation
Pensioner 1st Bt Royan Regt,1,Pensioner 1st Bt Royan Regt
Wife of Boatman,1,Wife of Boatman
"""Beggar""",1,"""Beggar"""
Leather Merchant's Wife,1,Leather Merchant's Wife
Wife an Agricultural Laborer,1,Wife an Agricultural Laborer
Child of an Agricultural Laborer,1,Child of an Agricultural Laborer
Servt Child,1,Servt Child
Pensioner and Servant,1,Pensioner and Servant
(Ship) Plumber,1,Ship Plumber
Hawkers Child,1,Hawkers Child
Pensioner and Farmers Son,1,Pensioner and Farmers Son
Shoemakers Child,1,Shoemakers Child
Chimney Claners Son,1,Chimney Claners Son
Tobacco Spiners,1,Tobacco Spiners
Sweeps,1,Sweeps
Theatrical Artist,1,Theatrical Artist
Cotton Weaverer,1,Cotton Weaverer
Physician and Surgeon M D Assistant F R C V,1,Physician and Surgeon M D Assistant F R C V
Cattle Dealer and Clerk,1,Cattle Dealer and Clerk
Stove Grate Fitter,1,Stove Grate Fitter
Mechanics Wife,1,Mechanics Wife
Assistant Teacher-Natl School,1,Assistant Teacher Natl School
Agricultural Labr's Wife,1,Agricultural Labr's Wife
Hard-Ware Hawker,1,Hard Ware Hawker
Plumber and Tin Smith,1,Plumber and Tin Smith
Pensioner's Widow,1,Pensioner's Widow
Own Scholar,1,Own Scholar
Spectacle Maker,1,Spectacle Maker
Soldier 1st Bn K Dublin Fusrs,1,Soldier 1st Bn K Dublin Fusrs
Ex. Sergt. R.I.C. Son,1,Ex. Sergt. R.I.C. Son
Sterrotyper,1,Sterrotyper
Agan Building,1,Agan Building
Civil Service Congested Districts,1,Civil Service Congested Districts
Child of Laundress,1,Child of Laundress
Elastic Maker,1,Elastic Maker
Barrister and Clerk,1,Barrister and Clerk
Aricultural Laborer,1,Aricultural Laborer
"Policeman, Not Attendiong School",1,"Policeman, Not Attendiong School"
Son of a Builder Labr,1,Son of a Builder Labr
Soldier Sergt R G Artillery,1,Soldier Sergt R G Artillery
Wife of a Labr,1,Wife of a Labr
"Cloth Finisher, Not Attending School",1,"Cloth Finisher, Not Attending School"
"Frenchpolisher, At School",1,"Frenchpolisher, At School"
Kiarrie,1,Kiarrie
Machnis Printer,1,Machnis Printer
Son of a Small Farmer Blacksmith,1,Son of a Small Farmer Blacksmith
RC Priest,1,Roman Catholic Priest
Victulear,1,Victulear
Confectioner Cook,1,Confectioner Cook
Shoe Land,1,Shoe Land
Servant Rly,1,Servant Rly
Mechanic P Layer,1,Mechanic P Layer
Bastard of Above,1,Bastard of Above
Hawking Farewood,1,Hawking Farewood
Court Official Resorders Court,1,Court Official Resorders Court
Grocers Ports,1,Grocers Ports
Scholar (Night School),1,Scholar Night School
Commercial Traveller (Tea and Wine Trade),1,Commercial Traveller Tea and Wine Trade
Farm Labourer-Domestic Servt,1,Farm Labourer Domestic Servt
Laborer and Soldier,1,Laborer and Soldier
(Tobegin) Widow of a General Laborer,1,Tobegin Widow of a General Laborer
Card Embosser,1,Card Embosser
Chaplain to the Forces (Retired),1,Chaplain to the Forces Retired
Sloker,1,Sloker
Mick Maid,1,Mick Maid
Tabber,1,Tabber
Signaller,1,Signaller
Wordsmaid,1,Wordsmaid
Foreman Laboure at Water Works,1,Foreman Laboure at Water Works
P. Maid. Domestic Servant,1,P. Maid. Domestic Servant
Clerk for Hagey Co.,1,Clerk for Hagey Co.
Apprentice to Wine and Spirit Merchant,1,Apprentice to Wine and Spirit Merchant
Merchant and Walner,1,Merchant and Walner
Major on Retired Army Pany,1,Major on Retired Army Pany
Seames Mistress,1,Seames Mistress
Too Young Yet,1,Too Young Yet
Preparer Flax in Mill,1,Preparer Flax in Mill
Vanman Unemploy,1,Vanman Unemploy
Measag Boy,1,Measag Boy
Foreman in Coal Yard,1,Foreman in Coal Yard
Lieut Artillery Militia,1,Lieut Artillery Militia
Colonel of Militia. I.P.D.L,1,Colonel of Militia. I.P.D.L
Model N. S. C Teacher,1,Model N. S. C Teacher
Book-Keeper Butchers,1,Book Keeper Butchers
"Labourer, (Engine Works)",1,"Labourer, Engine Works"
Mill Worker Machine Boy in Factory,1,Mill Worker Machine Boy in Factory
Top Fitter,1,Top Fitter
Late Clerk of Crown a Peace for city of County London Derry (Now Resigned)(,1,Late Clerk of Crown a Peace for city of County London Derry Now Resigned
1st Mate. Mes. Marine. R.M.R.,1,1st Mate. Mes. Marine. R.M.R.
Mill Worke Doffer,1,Mill Worke Doffer
Reeller in Linen Mill,1,Reeller in Linen Mill
Farm Lauborar,1,Farm Lauborar
Hand Embroidered,1,Hand Embroidered
Mill boy,1,Mill boy
Knilter by Machine,1,Knilter by Machine
Painter (Gen),1,Painter Gen
Iron Shipwright Plater,1,Iron Shipwright Plater
Night Watchman Laberour,1,Night Watchman Laberour
Clocker (Linen),1,Clocker Linen
Site Maker,1,Site Maker
Printer and Newagent,1,Printer and Newagent
Farmers Gr Son,1,Farmers Gr Son
Yarn Terten,1,Yarn Terten
Reeler Yorn,1,Reeler Yorn
Doffing Mistress in Factory,1,Doffing Mistress in Factory
Bomber Soldier Army,1,Bomber Soldier Army
Farrn Labourer,1,Farrn Labourer
Druggist Apprintice,1,Druggist Apprintice
Farmer's Widdow,1,Farmer's Widdow
Carder Millworker,1,Carder Millworker
Farming Servnat,1,Farming Servnat
Children's Maid-Domestic,1,Children's Maid Domestic
Engine-Cleaner,1,Engine Cleaner
Ornamenting Handkerchiefs,1,Ornamenting Handkerchiefs
Servant Cattle Herd,1,Servant Cattle Herd
Guilder and Frame Maker,1,Guilder and Frame Maker
Assistant Grover,1,Assistant Grover
Brewers Clark,1,Brewers Clark
No Occupation Income Derived From Annuities,1,No Occupation Income Derived From Annuities
Farmer's Dauaghter,1,Farmer's Dauaghter
Barnan,1,Barnan
Annuity and Money,1,Annuity and Money
Merchant Wholesale Druggist,1,Merchant Wholesale Druggist
Income from Land and Merchant,1,Income from Land and Merchant
Sergiant Major Royal Army Medical Corps,1,Sergiant Major Royal Army Medical Corps
Retired Street Singer,1,Retired Street Singer
Car Drwers Child in Hospital,1,Car Drwers Child in Hospital
Retired Genrl Labourer,1,Retired Genrl Labourer
Street Labor's Widow,1,Street Labor's Widow
Working Servant Cook,1,Working Servant Cook
"Servant, Stable Man",1,"Servant, Stable Man"
"Auxiliary, Post-Man",1,"Auxiliary, Post Man"
I. P. Baker,1,I. P. Baker
M.P. Solisitor,1,M.P. Solisitor
"Plate Layer, in Railway",1,"Plate Layer, in Railway"
Assistant Carpent,1,Assistant Carpent
Land Steward Domestic,1,Land Steward Domestic
Solicitor and Under Shop Donegal,1,Solicitor and Under Shop Donegal
Shoe Maker Harness,1,Shoe Maker Harness
Civil Servant Staff Officer R I C Dept.,1,Civil Servant Staff Officer R I C Dept.
Civil Servant Staff Officer A I C Dept.,1,Civil Servant Staff Officer A I C Dept.
Farmer Carpent Smith,1,Farmer Carpent Smith
Registry Offic,1,Registry Offic
Shop Keeper and Sub Postmistress,1,Shop Keeper and Sub Postmistress
Shop Keeper and Milliner,1,Shop Keeper and Milliner
Mechanic Flax Sp Y,1,Mechanic Flax Sp Y
Rlef Servant,1,Rlef Servant
Apprentice F. Watch Making,1,Apprentice F. Watch Making
Proper Twine Manufacturer,1,Proper Twine Manufacturer
J.P. Co of Dublin Govt Official,1,J.P. Co of Dublin Govt Official
Branch Manager Grain and Flour Merchants,1,Branch Manager Grain and Flour Merchants
Small Private Income Interest of Money of Shares,1,Small Private Income Interest of Money of Shares
Living by Poultry Keeping,1,Living by Poultry Keeping
Dairy Man Retired,1,Dairy Man Retired
Apprentice Trmonger,1,Apprentice Trmonger
Board of Trade Transmission Officer,1,Board of Trade Transmission Officer
Sails woman,1,Sails woman
Turbine Driver,1,Turbine Driver
Retired Military Captain French Army,1,Retired Military Captain French Army
Butter and Egg Mchant,1,Butter and Egg Mchant
Pait Manufacturer,1,Pait Manufacturer
R I C Pesioner,1,R I C Pesioner
Tramping Musician,1,Tramping Musician
Littho Printer,1,Littho Printer
Clergyman Parish Priest R.C,1,Clergyman Parish Priest R.C
Retired Resdt. Magistrate,1,Retired Resdt. Magistrate
"Clergy Man D. D., Parish Priest",1,"Clergy Man D. D., Parish Priest"
Plumber's Clerk,1,Plumber's Clerk
Grand Child of Merchant,1,Grand Child of Merchant
Servant of Merchant,1,Servant of Merchant
Labourer Manure Factory,1,Labourer Manure Factory
To Butter Merchant Accountant,1,To Butter Merchant Accountant
Shop Assistant Drapey,1,Shop Assistant Drapey
Blacksmith Shipyard,1,Blacksmith Shipyard
(Money Invested in Railway Shares) Annuitant,1,Money Invested in Railway Shares Annuitant
Coml Traveller Boot Shoe Trade,1,Coml Traveller Boot Shoe Trade
Major Royal Engineers Active List,1,Major Royal Engineers Active List
Income from Dividends Houses,1,Income from Dividends Houses
Barrister-at Law also Civil Servant Land Commission,1,Barrister at Law also Civil Servant Land Commission
M.D. Dub. D.P.H Camb. Med. Inspector L.G.B. Ireland,1,M.D. Dub. D.P.H Camb. Med. Inspector L.G.B. Ireland
G Post Office Dublin Telegraphist Retired on Pension,1,G Post Office Dublin Telegraphist Retired on Pension
Laundry Expert,1,Laundry Expert
Moonie from Land,1,Moonie from Land
Engineering Manager,1,Engineering Manager
Glosser in Laundry,1,Glosser in Laundry
Clerk Drug Business,1,Clerk Drug Business
Clerk Grocery Trade,1,Clerk Grocery Trade
Plumber and Sandig Engineere,1,Plumber and Sandig Engineere
"""Teacher Modern Languages, Mathematics""",1,"""Teacher Modern Languages, Mathematics"""
Apprentice Piano Tuner,1,Apprentice Piano Tuner
Supt of Ry Stores,1,Supt of Ry Stores
Clerk on his Fathers Firm,1,Clerk on his Fathers Firm
J.P.Co of Derry Merchant,1,J.P.Co of Derry Merchant
Commercial Clerk Flax Spinnnig,1,Commercial Clerk Flax Spinnnig
Minister of Religion of Presbyterian Church in Ireland,1,Minister of Religion of Presbyterian Church in Ireland
Milling and Agricultural Engineer,1,Milling and Agricultural Engineer
Physician Surgeon M.B.T.C.D and J.P,1,Physician Surgeon M.B.T.C.D and J.P
Interest on Money Living on ?,1,Interest on Money Living on ?
Gardiner Domestic (Servant),1,Gardiner Domestic Servant
Delar Fish,1,Delar Fish
Labeor Builders,1,Labeor Builders
J. P. Captain 6th Rifle Bde Land Agent,1,J. P. Captain 6th Rifle Bde Land Agent
Publican and Confctioner,1,Publican and Confctioner
Secr to Irish Needlework Depart,1,Secr to Irish Needlework Depart
Land Owner and Labour Employer,1,Land Owner and Labour Employer
Asst Grocer,1,Asst Grocer
Architects Assistant and Organist,1,Architects Assistant and Organist
General Proprietor A B out L R C P S E,1,General Proprietor A B out L R C P S E
Profesioner Presby Church,1,Profesioner Presby Church
Clerk D P G,1,Clerk D P G
Annuties from Land,1,Annuties from Land
Judge of the King's Berd Division High Court of Justice,1,Judge of the King's Berd Division High Court of Justice
Shop Keeper Liscensed Publican,1,Shop Keeper Liscensed Publican
Board For Ireland,1,Board For Ireland
Physician and Surgeon R.U.I,1,Physician and Surgeon R.U.I
Soldier C Sgt,1,Soldier C Sgt
Civil Engineer BE BA,1,Civil Engineer BE BA
Reserve Army Nursing Sister,1,Reserve Army Nursing Sister
General Merchant Town Clerk,1,General Merchant Town Clerk
Pension Cork Harbour Board,1,Pension Cork Harbour Board
Theatrical Employer,1,Theatrical Employer
"Physician and Surgeon L. R. C. S., L. R. C. P. I. E.",1,"Physician and Surgeon L. R. C. S., L. R. C. P. I. E."
Apprentier Plater,1,Apprentier Plater
P. Office Official,1,P. Office Official
N Teachers Widow,1,N Teachers Widow
Landerness Domestic Servant,1,Landerness Domestic Servant
Exstu. Sergt. Dmp,1,Exstu. Sergt. Dmp
Physician and Surgen J,1,Physician and Surgen J
Architech C E,1,Architech C E
Foreman Mill Labourer,1,Foreman Mill Labourer
Works Officer and Land Owner,1,Works Officer and Land Owner
Retired Indian Public,1,Retired Indian Public
Agricl Wrk Man,1,Agricl Wrk Man
Lieut. Warwick Regt. Active List,1,Lieut. Warwick Regt. Active List
"Assist Land Commissioner, Land Purchase Inspector",1,"Assist Land Commissioner, Land Purchase Inspector"
(Needlework) Artist,1,Needlework Artist
Presbyterian Clergyman Wife,1,Presbyterian Clergyman Wife
Clergyman of Ch of I. M.A.T.C.D.,1,Clergyman of Ch of I. M.A.T.C.D.
Shopman Confectioner,1,Shopman Confectioner
Labuour,1,Labuour
Nurse-Maid Domestic-Servant,1,Nurse Maid Domestic Servant
Teacher of Blind,1,Teacher of Blind
Pensioner (Host Foot),1,Pensioner Host Foot
Clerk and c Killadyant Union,1,Clerk and c Killadyant Union
Manager of Baths,1,Manager of Baths
"Dealer in China, etc",1,"Dealer in China, etc"
Contructor and Shop Keeper,1,Contructor and Shop Keeper
Commercial Clerk in the Hardware Line,1,Commercial Clerk in the Hardware Line
G Laburour,1,G Laburour
Clerk in Holy Orders C.I.,1,Clerk in Holy Orders C.I.
Button Holer-Machinest,1,Button Holer Machinest
A.B.R.I.U. Teacher,1,A.B.R.I.U. Teacher
District Inspector of NSS. Ritired,1,District Inspector of NSS. Ritired
I.P. and Corn Merchant,1,I.P. and Corn Merchant
Missted Monge,1,Missted Monge
Woollendraper's Assistant,1,Woollendraper's Assistant
Forage Contractors Agent,1,Forage Contractors Agent
Ironmonger Commercial Clerk,1,Ironmonger Commercial Clerk
Apprentice Clerk to County Council,1,Apprentice Clerk to County Council
Pharmaceutical Chemist's,1,Pharmaceutical Chemist's
Nat. Sch Teacher,1,Nat. Sch Teacher
Fireman-in Passage Dock,1,Fireman in Passage Dock
General Laberouer,1,General Laberouer
Worker at Fatory Line,1,Worker at Fatory Line
Publican and Hotelkeeper,1,Publican and Hotelkeeper
"2 Cl. Officer, Inld, Revenue",1,"2 Cl. Officer, Inld, Revenue"
Farmer and Colhier,1,Farmer and Colhier
Medical Student B. A. T C D.,1,Medical Student B. A. T C D.
Clerk of Union and Rural and District Council,1,Clerk of Union and Rural and District Council
Labourer at Bread Serving,1,Labourer at Bread Serving
Incumbent of Killia Parish Church of Ireland,1,Incumbent of Killia Parish Church of Ireland
School Attendance Inspector Dublin,1,School Attendance Inspector Dublin
Inspector of Sewers Dublin,1,Inspector of Sewers Dublin
None Student,1,None Student
Retired Gate Miner,1,Retired Gate Miner
Barrister-LPHH,1,Barrister LPHH
Sweet Manufacturer,1,Sweet Manufacturer
Clerk at Bank,1,Clerk at Bank
Minding Household,1,Minding Household
Iawmalish,1,Iawmalish
Teacher under National Board,1,Teacher under National Board
Work-Mistress Under N.Board,1,Work Mistress Under N.Board
Manager Whiskey Dept in Distillery,1,Manager Whiskey Dept in Distillery
Fireman (Electric),1,Fireman Electric
Porter (Cellar),1,Porter Cellar
Archmed,1,Archmed
"Grocer, Baker and c",1,"Grocer, Baker and c"
Grocer Baker and c,1,Grocer Baker and c
Thread Winder in Flax Mill,1,Thread Winder in Flax Mill
Master of Arts R.U.I. Student of Theology,1,Master of Arts R.U.I. Student of Theology
Flax Machine Fitter,1,Flax Machine Fitter
Retired C Merchant,1,Retired C Merchant
1st Class Clerk Registry of Deeds Retired,1,1st Class Clerk Registry of Deeds Retired
Linen Lappir,1,Linen Lappir
Retired Methodist Minister,1,Retired Methodist Minister
L L.D. Solicitor,1,L L.D. Solicitor
Forman Flax Dresser,1,Forman Flax Dresser
J P Dd Land Owner,1,J P Dd Land Owner
"Stockbrokers, Clerk",1,"Stockbrokers, Clerk"
At Home Regularly,1,At Home Regularly
Handkerchief Vickler,1,Handkerchief Vickler
Head Nurse Castlebar District Asylum,1,Head Nurse Castlebar District Asylum
Junction Engine Driver,1,Junction Engine Driver
Cleaning Inspector,1,Cleaning Inspector
Cartaker at Water W,1,Cartaker at Water W
Housekeeper Supported by Husbn,1,Housekeeper Supported by Husbn
Color Turnner,1,Color Turnner
National School Teacher Ret,1,National School Teacher Ret
Domestic Cook and Servant,1,Domestic Cook and Servant
Farm Labourer wife,1,Farm Labourer wife
Postman G.P.S,1,Postman G.P.S
Tabacco Dryer,1,Tabacco Dryer
Vocal Artist,1,Vocal Artist
Short-Hand Writer and Typist,1,Short Hand Writer and Typist
Type-Writing,1,Type Writing
Account ?,1,Account ?
Assistant ?,1,Assistant ?
Cotton Ornamenter,1,Cotton Ornamenter
No occupation firm income from dividends,1,No occupation firm income from dividends
Serirener Land Indg Office Four Courts,1,Serirener Land Indg Office Four Courts
Professor Piano Singing,1,Professor Piano Singing
Boy Copyist (Unemployed),1,Boy Copyist Unemployed
Cevil Servant,1,Cevil Servant
Vocalist Teacher of Music,1,Vocalist Teacher of Music
Solicitors Assistant B. A. Dublin University,1,Solicitors Assistant B. A. Dublin University
Boiler Maker in Ry Works,1,Boiler Maker in Ry Works
General Merchant and Steamship Agent,1,General Merchant and Steamship Agent
Farmer and R I C Pener,1,Farmer and R I C Pener
"Artist, Painter",1,"Artist, Painter"
First Class Clerk Natl Education Off. Retired,1,First Class Clerk Natl Education Off. Retired
Cook (D S),1,Cook D S
Shop Proprietoress,1,Shop Proprietoress
Gentleman Rents From Land,1,Gentleman Rents From Land
J.C.M. Missionery,1,J.C.M. Missionery
Parlour Maid-Domestic Servt.,1,Parlour Maid Domestic Servt.
Arch Deacon of Rols,1,Arch Deacon of Rols
Ex President of Magistrate J.P,1,Ex President of Magistrate J.P
Living on Money Drived from House Rent,1,Living on Money Drived from House Rent
Clothiers Traveller,1,Clothiers Traveller
M A and M I C E Civil Engineer and Box Surveyor of Wexford,1,M A and M I C E Civil Engineer and Box Surveyor of Wexford
Pensioner and Hardware Mercht.,1,Pensioner and Hardware Mercht.
Clerk in Postoffice Telegraph Dept,1,Clerk in Postoffice Telegraph Dept
Secretary Gran of Timber Merchant,1,Secretary Gran of Timber Merchant
Wife to Head of Family,1,Wife to Head of Family
Clerk of Crown and Peace for the County of Carlow,1,Clerk of Crown and Peace for the County of Carlow
Retired Collector of ? Superannuated,1,Retired Collector of ? Superannuated
Maid Woman,1,Maid Woman
Capt West African Frontier Force,1,Capt West African Frontier Force
"Genl Clerk, (Solrs)",1,"Genl Clerk, Solrs"
Theolopical Student Magee College Londonderry,1,Theolopical Student Magee College Londonderry
Clerk Book Publisher,1,Clerk Book Publisher
Draper and Milliner (One Account),1,Draper and Milliner One Account
Clerk (Rentagent),1,Clerk Rentagent
9 Starch Packer,1,9 Starch Packer
None Income from Interest,1,None Income from Interest
Engineer Broughtsman,1,Engineer Broughtsman
Venetian Blind Maker,1,Venetian Blind Maker
